STATION,NAME,DATE,DAPR,MDPR,PRCP,SNOW,SNWD
USC00118916,"WALNUT, IL US",1/1/2016,,,0,0,
USC00118916,"WALNUT, IL US",1/2/2016,,,0,0,
USC00118916,"WALNUT, IL US",1/3/2016,,,0,0,
USC00118916,"WALNUT, IL US",1/4/2016,,,0,0,
USC00118916,"WALNUT, IL US",1/5/2016,,,0,0,0
USC00118916,"WALNUT, IL US",1/6/2016,,,0,0,0
USC00118916,"WALNUT, IL US",1/7/2016,,,0,0,0
USC00118916,"WALNUT, IL US",1/8/2016,,,0.13,0,0
USC00118916,"WALNUT, IL US",1/9/2016,,,0.41,0,0
USC00118916,"WALNUT, IL US",1/10/2016,,,0.11,3,3
USC00118916,"WALNUT, IL US",1/11/2016,,,0,0,
USC00118916,"WALNUT, IL US",1/12/2016,,,0.04,1,
USC00118916,"WALNUT, IL US",1/13/2016,,,0,0,
USC00118916,"WALNUT, IL US",1/14/2016,,,0,0,
USC00118916,"WALNUT, IL US",1/15/2016,,,0,0,0
USC00118916,"WALNUT, IL US",1/16/2016,,,0,0,0
USC00118916,"WALNUT, IL US",1/17/2016,,,0,0,0
USC00118916,"WALNUT, IL US",1/18/2016,,,0,0,0
USC00118916,"WALNUT, IL US",1/19/2016,,,0,0,0
USC00118916,"WALNUT, IL US",1/20/2016,,,0.06,1.5,2
USC00118916,"WALNUT, IL US",1/21/2016,,,0,0,
USC00118916,"WALNUT, IL US",1/22/2016,,,0,0,
USC00118916,"WALNUT, IL US",1/23/2016,,,0,0,
USC00118916,"WALNUT, IL US",1/24/2016,,,0,0,
USC00118916,"WALNUT, IL US",1/25/2016,,,0,0,
USC00118916,"WALNUT, IL US",1/26/2016,,,0.13,0,
USC00118916,"WALNUT, IL US",1/27/2016,,,0,0,
USC00118916,"WALNUT, IL US",1/28/2016,,,0,0,
USC00118916,"WALNUT, IL US",1/29/2016,,,0,0,
USC00118916,"WALNUT, IL US",1/30/2016,,,0,0,0
USC00118916,"WALNUT, IL US",1/31/2016,,,0,0,0
USC00118916,"WALNUT, IL US",2/1/2016,,,0,0,0
USC00118916,"WALNUT, IL US",2/2/2016,,,0,0,0
USC00118916,"WALNUT, IL US",2/3/2016,,,0.5,0,0
USC00118916,"WALNUT, IL US",2/4/2016,,,0,0,0
USC00118916,"WALNUT, IL US",2/5/2016,,,0,0,0
USC00118916,"WALNUT, IL US",2/6/2016,,,0,0,0
USC00118916,"WALNUT, IL US",2/7/2016,,,0,0,0
USC00118916,"WALNUT, IL US",2/8/2016,,,0,0,0
USC00118916,"WALNUT, IL US",2/9/2016,,,0.05,1,
USC00118916,"WALNUT, IL US",2/10/2016,,,0,0,
USC00118916,"WALNUT, IL US",2/11/2016,,,0,0,
USC00118916,"WALNUT, IL US",2/12/2016,,,0,0,
USC00118916,"WALNUT, IL US",2/13/2016,,,0,0,
USC00118916,"WALNUT, IL US",2/14/2016,,,0,0,
USC00118916,"WALNUT, IL US",2/15/2016,,,0.2,4,
USC00118916,"WALNUT, IL US",2/16/2016,,,0,0,
USC00118916,"WALNUT, IL US",2/17/2016,,,0,0,
USC00118916,"WALNUT, IL US",2/18/2016,,,0,0,
USC00118916,"WALNUT, IL US",2/19/2016,,,0,0,0
USC00118916,"WALNUT, IL US",2/20/2016,,,0,0,0
USC00118916,"WALNUT, IL US",2/21/2016,,,0,0,0
USC00118916,"WALNUT, IL US",2/22/2016,,,0,0,0
USC00118916,"WALNUT, IL US",2/23/2016,,,0,0,0
USC00118916,"WALNUT, IL US",2/24/2016,,,0,0,0
USC00118916,"WALNUT, IL US",2/25/2016,,,0,0,0
USC00118916,"WALNUT, IL US",2/26/2016,,,0,0,0
USC00118916,"WALNUT, IL US",2/27/2016,,,0,0,0
USC00118916,"WALNUT, IL US",2/28/2016,,,0,0,0
USC00118916,"WALNUT, IL US",2/29/2016,,,0,0,0
USC00118916,"WALNUT, IL US",3/1/2016,,,0,0,0
USC00118916,"WALNUT, IL US",3/2/2016,,,0,0,0
USC00118916,"WALNUT, IL US",3/3/2016,,,0.17,1,0
USC00118916,"WALNUT, IL US",3/4/2016,,,0,0,0
USC00118916,"WALNUT, IL US",3/5/2016,,,0,0,0
USC00118916,"WALNUT, IL US",3/6/2016,,,0,0,0
USC00118916,"WALNUT, IL US",3/7/2016,,,0,0,0
USC00118916,"WALNUT, IL US",3/8/2016,,,0,0,0
USC00118916,"WALNUT, IL US",3/9/2016,,,0.21,0,0
USC00118916,"WALNUT, IL US",3/10/2016,,,0,0,0
USC00118916,"WALNUT, IL US",3/11/2016,,,0,0,0
USC00118916,"WALNUT, IL US",3/12/2016,,,0,0,0
USC00118916,"WALNUT, IL US",3/13/2016,,,0.17,0,0
USC00118916,"WALNUT, IL US",3/14/2016,,,0.08,0,0
USC00118916,"WALNUT, IL US",3/15/2016,,,0,0,0
USC00118916,"WALNUT, IL US",3/16/2016,,,0.75,0,0
USC00118916,"WALNUT, IL US",3/17/2016,,,0,0,0
USC00118916,"WALNUT, IL US",3/18/2016,,,0,0,0
USC00118916,"WALNUT, IL US",3/19/2016,,,0,0,0
USC00118916,"WALNUT, IL US",3/20/2016,,,0,0,0
USC00118916,"WALNUT, IL US",3/21/2016,,,0,0,0
USC00118916,"WALNUT, IL US",3/22/2016,,,0,0,0
USC00118916,"WALNUT, IL US",3/23/2016,,,0,0,0
USC00118916,"WALNUT, IL US",3/24/2016,,,0.4,0,0
USC00118916,"WALNUT, IL US",3/25/2016,,,0.75,,
USC00118916,"WALNUT, IL US",3/26/2016,,,0,0,0
USC00118916,"WALNUT, IL US",3/27/2016,,,0,0,0
USC00118916,"WALNUT, IL US",3/28/2016,,,0.25,0,0
USC00118916,"WALNUT, IL US",3/29/2016,,,0,0,0
USC00118916,"WALNUT, IL US",3/30/2016,,,0,0,0
USC00118916,"WALNUT, IL US",3/31/2016,,,0.55,0,0
USC00118916,"WALNUT, IL US",4/1/2016,,,0,0,0
USC00118916,"WALNUT, IL US",4/2/2016,,,0,0,0
USC00118916,"WALNUT, IL US",4/3/2016,,,0,0,0
USC00118916,"WALNUT, IL US",4/4/2016,,,0,0,0
USC00118916,"WALNUT, IL US",4/5/2016,,,0,0,0
USC00118916,"WALNUT, IL US",4/6/2016,,,0.45,0,0
USC00118916,"WALNUT, IL US",4/7/2016,,,0,0,0
USC00118916,"WALNUT, IL US",4/8/2016,,,0,0,0
USC00118916,"WALNUT, IL US",4/9/2016,,,0,0,0
USC00118916,"WALNUT, IL US",4/10/2016,,,0,0,0
USC00118916,"WALNUT, IL US",4/11/2016,,,0,0,0
USC00118916,"WALNUT, IL US",4/12/2016,,,0,0,0
USC00118916,"WALNUT, IL US",4/13/2016,,,0,0,0
USC00118916,"WALNUT, IL US",4/14/2016,,,0,0,0
USC00118916,"WALNUT, IL US",4/15/2016,,,0,0,0
USC00118916,"WALNUT, IL US",4/16/2016,,,0,0,0
USC00118916,"WALNUT, IL US",4/17/2016,,,0,0,0
USC00118916,"WALNUT, IL US",4/18/2016,,,0,0,0
USC00118916,"WALNUT, IL US",4/19/2016,,,0,0,0
USC00118916,"WALNUT, IL US",4/20/2016,,,0.3,0,0
USC00118916,"WALNUT, IL US",4/21/2016,,,0,0,0
USC00118916,"WALNUT, IL US",4/22/2016,,,0.62,0,0
USC00118916,"WALNUT, IL US",4/23/2016,,,0,0,0
USC00118916,"WALNUT, IL US",4/24/2016,,,0,0,0
USC00118916,"WALNUT, IL US",4/25/2016,,,0,0,0
USC00118916,"WALNUT, IL US",4/26/2016,,,0,0,0
USC00118916,"WALNUT, IL US",4/27/2016,,,0,0,0
USC00118916,"WALNUT, IL US",4/28/2016,,,0.95,0,0
USC00118916,"WALNUT, IL US",4/29/2016,,,0,0,0
USC00118916,"WALNUT, IL US",4/30/2016,,,0,0,0
USC00118916,"WALNUT, IL US",5/1/2016,,,0.83,0,0
USC00118916,"WALNUT, IL US",5/2/2016,,,0.5,0,0
USC00118916,"WALNUT, IL US",5/3/2016,,,0,0,0
